pdbid lenght accep_rate distr_time ensemble_time
6fsw 236 99.00990099009901% 54.553 875.301
6fub 93 100.0% 48.495 463.213
6fy5 198 100.0% 125.479 1407.558
6gfx 160 100.0% 45.988 658.348
6gus 155 100.0% 54.649 706.649
6h49 157 100.0% 69.392 719.885
6h86 88 100.0% 43.979 405.135
6hem 303 99.00990099009901% 82.856 1493.185
6hj6 171 99.00990099009901% 56.451 790.101
6iah 240 100.0% 51.366 881.203
6idx 524 100.0% 127.784 3215.147
6in7 81 100.0% 48.425 411.262
6irx 496 99.00990099009901% 93.238 2216.441
6j33 1053 97.0873786407767% 363.527 6120.149
6j56 129 100.0% 51.22 554.921
6jpt 122 100.0% 51.397 488.48
6jv8 76 100.0% 68.714 626.929
6jwh 473 98.0392156862745% 90.712 2152.292
6kty 196 100.0% 52.231 700.720
6l34 68 96.15384615384616% 47.787 404.968
6l3r 669 99.00990099009901% 153.945 3186.907
6l4l 281 100.0% 64.242 1264.467
6l4p 145 100.0% 52.289 571.992
6l8s 650 99.00990099009901% 171.797 5115.567
6lrd 705 100.0% 196.958 4854.51
6lus 133 100.0% 54.739 549.985
6mbg 285 100.0% 63.645 1151.706
6mdw 194 100.0% 60.508 902.497
6ndw 178 100.0% 57.353 614.42
6nl2 594 100.0% 164.924 3898.709
6o2v 135 100.0% 52.488 533.525
6o6y 440 99.00990099009901% 117.921 3004.907
6odd 74 99.00990099009901% 48.195 380.528
6okd 51 99.00990099009901% 46.479 353.113
6ono 76 98.0392156862745% 45.362 406.75
6ovk 219 100.0% 59.266 780.409
6oz1 643 99.00990099009901% 247.265 4232.346
6p5h 105 100.0% 51.702 475.805
6p5x 457 99.00990099009901% 90.431 1719.453
6pce 70 100.0% 50.86 394.710
6pnv 411 99.00990099009901% 130.844 2275.706
6pxz 104 100.0% 43.255 457.508
6q10 155 100.0% 84.450 919.438
6q9c 155 100.0% 56.257 671.666
6q9c 418 100.0% 84.644 1513.174
6qfk 1357 100.0% 643.245 10089.732
6qj0 412 100.0% 76.379 1373.424
6ro6 58 93.45794392523365% 46.747 377.896
6rrv 127 100.0% 51.36 537.357
6rwt 184 100.0% 91.303 1236.703
6sms 724 99.00990099009901% 169.390 3394.553
6sup 2128 99.00990099009901% 1831.410 30905.696
6tgk 105 100.0% 56.547 527.968
6tly 99 99.00990099009901% 82.908 743.534
6uof 119 100.0% 50.256 489.779
6vjg 110 100.0% 52.540 552.990
6xb3 241 100.0% 61.593 901.921
6xds 492 100.0% 91.836 2301.904
6xrx 554 100.0% 116.978 2219.846
6y2x 235 100.0% 57.873 896.180
6yhu 117 100.0% 55.250 500.351
6ypi 97 100.0% 83.219 653.709
6zsl 603 97.0873786407767% 196.622 4639.209
7a66 86 100.0% 47.964 415.873
7aex 275 100.0% 137.286 1871.216
7aqx 364 96.15384615384616% 76.155 1482.413
7asg 594 100.0% 129.30 2636.389
7buy 306 99.00990099009901% 71.880 1270.633
7bwf 92 99.00990099009901% 49.711 454.374
7c45 302 100.0% 73.145 1166.778
7dmn 377 100.0% 81.261 1573.239
7e2s 233 100.0% 58.532 949.649
7ead 135 99.00990099009901% 52.892 595.155
7ec1 505 100.0% 102.149 2407.693
7fd1 106 100.0% 69.157 583.419
7jfl 47 100.0% 45.227 301.69
7jrq 131 100.0% 53.35 570.28
7k7p 118 99.00990099009901% 59.828 538.686
7la6 221 100.0% 58.724 800.111
7lao 271 100.0% 65.557 994.739
7lp1 39 97.0873786407767% 51.602 319.527
7mf4 554 100.0% 118.943 2166.707
7n0j 101 100.0% 128.800 863.371
7ned 546 100.0% 120.780 2335.876
7nmq 365 99.00990099009901% 72.781 1374.879
7onn 410 97.0873786407767% 80.215 1416.274
7p41 448 98.0392156862745% 77.400 1759.128
7p46 282 100.0% 63.172 1139.96
7qsu 374 100.0% 77.680 1416.34
7rm7 228 100.0% 104.202 1343.301
7s86 99 100.0% 70.814 486.608
7wab 484 100.0% 199.52 4813.120
